
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999842, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999843, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999844, Num Errors Improved = 0, DFR =  9.999984e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999845, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999846, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999847, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999848, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999849, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999850, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999851, Num Errors Improved = 0, DFR =  9.999985e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999852, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999853, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999854, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999855, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999856, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999857, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999858, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999859, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999860, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999861, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999862, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999863, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999864, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999865, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999866, Num Errors Improved = 0, DFR =  9.999986e-01, DFR Improved = 0.000000e+00  (2026-07-10 05:45:42)
