t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999985, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999986, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999987, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999988, Num Errors Improved = 0, DFR =  9.999998e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999989, Num Errors Improved = 0, DFR =  9.999999e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999990, Num Errors Improved = 0, DFR =  9.999999e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999991, Num Errors Improved = 0, DFR =  9.999999e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999992, Num Errors Improved = 0, DFR =  9.999999e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999993, Num Errors Improved = 0, DFR =  9.999999e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999994, Num Errors Improved = 0, DFR =  9.999999e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999995, Num Errors Improved = 0, DFR =  9.999999e-01, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999996, Num Errors Improved = 0, DFR =  1.000000e+00, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999997, Num Errors Improved = 0, DFR =  1.000000e+00, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999998, Num Errors Improved = 0, DFR =  1.000000e+00, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999999, Num Errors Improved = 0, DFR =  1.000000e+00, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 100000000, Num Errors Improved = 0, DFR =  1.000000e+00, DFR Improved = 0.000000e+00  (2026-06-13 06:37:57)
t = 134, u = 44, Num Tx = 10000000, Num Errors = 9999921, Num Errors Improved = 0, DFR =  9.999921e-01, DFR Improved = 0.000000e+00  (2026-06-13 15:21:39)
t = 134, u = 44, Num Tx = 20000000, Num Errors = 19999921, Num Errors Improved = 0, DFR =  9.999960e-01, DFR Improved = 0.000000e+00  (2026-06-14 00:09:37)
t = 134, u = 44, Num Tx = 30000000, Num Errors = 29999921, Num Errors Improved = 0, DFR =  9.999973e-01, DFR Improved = 0.000000e+00  (2026-06-14 08:57:05)
t = 134, u = 44, Num Tx = 60000000, Num Errors = 59999921, Num Errors Improved = 0, DFR =  9.999987e-01, DFR Improved = 0.000000e+00  (2026-06-15 11:13:39)
t = 134, u = 44, Num Tx = 60000000, Num Errors = 59999922, Num Errors Improved = 0, DFR =  9.999987e-01, DFR Improved = 0.000000e+00  (2026-06-15 11:13:39)
t = 134, u = 44, Num Tx = 70000000, Num Errors = 69999921, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-06-15 20:01:29)
t = 134, u = 44, Num Tx = 70000000, Num Errors = 69999922, Num Errors Improved = 0, DFR =  9.999989e-01, DFR Improved = 0.000000e+00  (2026-06-15 20:01:29)
t = 134, u = 44, Num Tx = 80000000, Num Errors = 79999921, Num Errors Improved = 0, DFR =  9.999990e-01, DFR Improved = 0.000000e+00  (2026-06-16 04:48:18)
t = 134, u = 44, Num Tx = 90000000, Num Errors = 89999921, Num Errors Improved = 0, DFR =  9.999991e-01, DFR Improved = 0.000000e+00  (2026-06-16 13:37:08)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999921, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
t = 134, u = 44, Num Tx = 100000000, Num Errors = 99999922, Num Errors Improved = 0, DFR =  9.999992e-01, DFR Improved = 0.000000e+00  (2026-06-16 22:24:44)
