
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999742, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999743, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999744, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999745, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999746, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999747, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999748, Num Errors Improved = 0, DFR =  9.999974e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999749, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999750, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999751, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999752, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999753, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999754, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999755, Num Errors Improved = 0, DFR =  9.999975e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999756, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999757, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999758, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999759, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999760, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999761, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999762, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
t = 134, u = 45, Num Tx = 100000000, Num Errors = 99999763, Num Errors Improved = 0, DFR =  9.999976e-01, DFR Improved = 0.000000e+00  (2026-06-10 09:49:06)
